saving only one halfx,y
4.212987866739545950e+01,-5.270924331603231394e+01
4.224272652674103057e+01,-5.263554815697499123e+01
4.234428008555013889e+01,-5.256928598621011872e+01
4.255868150370482539e+01,-5.242577551362158061e+01
4.256547378288632899e+01,-5.242114673882030473e+01
4.277308292185951899e+01,-5.227963438214946734e+01
4.287728668470663962e+01,-5.220674532066561824e+01
4.298748434001419838e+01,-5.212958599495026135e+01
4.317853031080117177e+01,-5.199234390251093885e+01
4.320188575816887777e+01,-5.197553607252188357e+01
4.341628717632356427e+01,-5.181801298622055896e+01
4.346956534631575408e+01,-5.177794248435624525e+01
4.363068859447825787e+01,-5.165640866382695151e+01
4.375074674659426677e+01,-5.156354106620157296e+01
4.384509001263293015e+01,-5.149029464392085487e+01
4.402242265164169055e+01,-5.134913964804687936e+01
4.405949143078761665e+01,-5.131950102144389803e+01
4.427389284894229604e+01,-5.114397135776037118e+01
4.428493351839858150e+01,-5.113473822989219997e+01
4.448829426709698964e+01,-5.096370381538046956e+01
4.453861144141635009e+01,-5.092033681173751347e+01
4.470269568525166903e+01,-5.077799853620916792e+01
4.478377963582607890e+01,-5.070593539358284119e+01
4.491709710340634842e+01,-5.058658378178956383e+01
4.502075205951025794e+01,-5.049153397542814758e+01
4.513149852156104203e+01,-5.038915550031429547e+01
4.524983315412306695e+01,-5.027713255727346819e+01
4.534589993971572142e+01,-5.018537433962128347e+01
4.547131768707546229e+01,-5.006273113911878170e+01
4.556030135787040791e+01,-4.997486217012357912e+01
4.568549067881752279e+01,-4.984832972096408810e+01
4.577470277602508730e+01,-4.975719804482693576e+01
4.589262740173467847e+01,-4.963392830280940871e+01
4.598910419417978090e+01,-4.953191350817269267e+01
4.609299343873911425e+01,-4.941952688465472932e+01
4.620350561233446030e+01,-4.929848714673948251e+01
4.628684479120619955e+01,-4.920512546650004992e+01
4.641790703048913258e+01,-4.905633825197358533e+01
4.647442802729231914e+01,-4.899072404834535632e+01
4.663230844864381908e+01,-4.880481943697255787e+01
4.665598046289449030e+01,-4.877632263019067693e+01
4.683173036858959648e+01,-4.856192121203599044e+01
4.684670986679851268e+01,-4.854341703058701540e+01
4.700189719683618961e+01,-4.834751979388130394e+01
4.706111128495319917e+01,-4.827153478155786104e+01
4.716669182455053289e+01,-4.813311837572661744e+01
4.727551270310787856e+01,-4.798794440699074926e+01
4.732631680689178921e+01,-4.791871695757193805e+01
4.748096663872284040e+01,-4.770431553941725156e+01
4.748991412126256506e+01,-4.769176213945704035e+01
4.763082802076225164e+01,-4.748991412126256506e+01
4.770431553941725866e+01,-4.738254207445564958e+01
4.777608012791988301e+01,-4.727551270310788567e+01
4.791689487772215017e+01,-4.706111128495319917e+01
4.791871695757193095e+01,-4.705830639972969465e+01
4.805343719708989880e+01,-4.684670986679851268e+01
4.813311837572661034e+01,-4.671872962292344766e+01
4.818586528604078012e+01,-4.663230844864382618e+01
4.831433087715310393e+01,-4.641790703048914679e+01
4.834751979388129683e+01,-4.636163228299182748e+01
4.843897948985612345e+01,-4.620350561233446030e+01
4.855995067880716931e+01,-4.598910419417978090e+01
4.856192121203599044e+01,-4.598557316834983055e+01
4.867737827578235965e+01,-4.577470277602509441e+01
4.877632263019066983e+01,-4.558910390067760687e+01
4.879139062464989962e+01,-4.556030135787040791e+01
4.890211080911520725e+01,-4.534589993971572142e+01
4.899072404834534211e+01,-4.516982034673023350e+01
4.900965687302867480e+01,-4.513149852156103492e+01
4.911414203313285753e+01,-4.491709710340635553e+01
4.920512546650004282e+01,-4.472533590790753522e+01
4.921567488419680103e+01,-4.470269568525167614e+01
4.931435959654555035e+01,-4.448829426709698964e+01
4.941029610604132216e+01,-4.427389284894230315e+01
4.941952688465472221e+01,-4.425300981532278399e+01
4.950358029661339287e+01,-4.405949143078761665e+01
4.959430417546656145e+01,-4.384509001263293015e+01
4.963392830280940160e+01,-4.374973583083914264e+01
4.968255604112330559e+01,-4.363068859447825787e+01
4.976842064447631486e+01,-4.341628717632356427e+01
4.984832972096408099e+01,-4.321140199134370619e+01
4.985197934304253664e+01,-4.320188575816888488e+01
4.993331024862264655e+01,-4.298748434001419838e+01
5.001248836857715929e+01,-4.277308292185951188e+01
5.006273113911878170e+01,-4.263415741245172796e+01
5.008958574093635008e+01,-4.255868150370482539e+01
5.016467156356387136e+01,-4.234428008555014600e+01
5.023781231759479482e+01,-4.212987866739545950e+01
5.027713255727346109e+01,-4.201241356822714579e+01
5.030907188536824037e+01,-4.191547724924077301e+01
5.037851166307255113e+01,-4.170107583108609361e+01
5.044619066831778298e+01,-4.148667441293140001e+01
5.049153397542813337e+01,-4.134002950680066135e+01
5.051216564284612076e+01,-4.127227299477672773e+01
5.057649115058607947e+01,-4.105787157662203413e+01
5.063921967125073564e+01,-4.084347015846735474e+01
5.070040168967492633e+01,-4.062906874031266824e+01
5.070593539358283408e+01,-4.060945442150583773e+01
5.076008578107963132e+01,-4.041466732215798174e+01
5.081831869244580702e+01,-4.020026590400330235e+01
5.087514542017354557e+01,-3.998586448584862296e+01
5.092033681173752058e+01,-3.981163738856407974e+01
5.093060928419558309e+01,-3.977146306769393647e+01
5.098475199870804175e+01,-3.955706164953924286e+01
5.103761373967458326e+01,-3.934266023138456347e+01
5.108923320925388367e+01,-3.912825881322988408e+01
5.113473822989218576e+01,-3.893499691884643710e+01
5.113964769729390980e+01,-3.891385739507519759e+01
5.118889314003043722e+01,-3.869945597692051109e+01
5.123700417612139546e+01,-3.848505455876583170e+01
5.128401420014233736e+01,-3.827065314061114520e+01
5.132995541366318548e+01,-3.805625172245645160e+01
5.134913964804687225e+01,-3.796533914474263582e+01
5.137485887402070261e+01,-3.784185030430177221e+01
5.141875454089581865e+01,-3.762744888614709282e+01
5.146167132079987994e+01,-3.741304746799240633e+01
5.150363710956918339e+01,-3.719864604983771983e+01
5.154467883296229758e+01,-3.698424463168304044e+01
5.156354106620157296e+01,-3.688417081425821209e+01
5.158482248545008275e+01,-3.676984321352836105e+01
5.162409316728428621e+01,-3.655544179537366745e+01
5.166251511992624756e+01,-3.634104037721898095e+01
5.170011175991337637e+01,-3.612663895906430156e+01
5.173690571123730564e+01,-3.591223754090961506e+01
5.177291883630410751e+01,-3.569783612275492857e+01
5.177794248435625235e+01,-3.566759140963780084e+01
5.180817226554326993e+01,-3.548343470460024918e+01
5.184268642572922658e+01,-3.526903328644556979e+01
5.187648106707585072e+01,-3.505463186829087618e+01
5.190957528916153052e+01,-3.484023045013618969e+01
5.194198756573935327e+01,-3.462582903198151030e+01
5.197373576848477938e+01,-3.441142761382683091e+01
5.199234390251093885e+01,-3.428372517009609055e+01
5.200483718972986225e+01,-3.419702619567214441e+01
5.203530856423145678e+01,-3.398262477751745791e+01
5.206516609001791807e+01,-3.376822335936277852e+01
5.209442544835692246e+01,-3.355382194120808492e+01
5.212310182288498339e+01,-3.333942052305339843e+01
5.215120991793689598e+01,-3.312501910489871904e+01
5.217876397611205874e+01,-3.291061768674403964e+01
5.220577779511221905e+01,-3.269621626858935315e+01
5.220674532066561113e+01,-3.268846221225467019e+01
5.223226474388389562e+01,-3.248181485043466665e+01
5.225823777809699067e+01,-3.226741343227998726e+01
5.228370945498961220e+01,-3.205301201412530077e+01
5.230869194760747121e+01,-3.183861059597062493e+01
5.233319705846525949e+01,-3.162420917781592777e+01
5.235723623265564441e+01,-3.140980775966124838e+01
5.238082057043065731e+01,-3.119540634150656899e+01
5.240396083927859650e+01,-3.098100492335187539e+01
5.242114673882030473e+01,-3.081911153620955446e+01
5.242666748551921785e+01,-3.076660350519718889e+01
5.244895064543793239e+01,-3.055220208704250950e+01
5.247082015597959526e+01,-3.033780066888782656e+01
5.249228556502102805e+01,-3.012339925073313651e+01
5.251335614124049300e+01,-2.990899783257845712e+01
5.253404088360183266e+01,-2.969459641442377063e+01
5.255434853046978105e+01,-2.948019499626908768e+01
5.257428756837230566e+01,-2.926579357811440829e+01
5.259386624042527814e+01,-2.905139215995972179e+01
5.261309255443357813e+01,-2.883699074180503885e+01
5.263197429068277700e+01,-2.862258932365035236e+01
5.263554815697498412e+01,-2.858155922613058308e+01
5.265051900943421970e+01,-2.840818790549566586e+01
5.266873405813613118e+01,-2.819378648734098647e+01
5.268662657836262042e+01,-2.797938506918629642e+01
5.270420351249210711e+01,-2.776498365103161348e+01
5.272147161013582206e+01,-2.755058223287693053e+01
5.273843743432687603e+01,-2.733618081472225114e+01
5.275510736747984453e+01,-2.712177939656756109e+01
5.277148761713015546e+01,-2.690737797841287460e+01
5.278758422146242424e+01,-2.669297656025819521e+01
5.280340305463628425e+01,-2.647857514210350871e+01
5.281894983191802595e+01,-2.626417372394882577e+01
5.283423011462576113e+01,-2.604977230579413927e+01
5.284924931489577205e+01,-2.583537088763945633e+01
5.284994957512966351e+01,-2.582527546723833112e+01
5.286401270027709387e+01,-2.562096946948476983e+01
5.287852539816130104e+01,-2.540656805133008689e+01
5.289279240005397043e+01,-2.519216663317540394e+01
5.290681856569413810e+01,-2.497776521502072100e+01
5.292060862702766855e+01,-2.476336379686603451e+01
5.293416719204039822e+01,-2.454896237871135156e+01
5.294749874845641813e+01,-2.433456096055666862e+01
5.296060766730681024e+01,-2.412015954240198212e+01
5.297349820637374052e+01,-2.390575812424729918e+01
5.298617451351496044e+01,-2.369135670609261624e+01
5.299864062987300173e+01,-2.347695528793792974e+01
5.301090049297369688e+01,-2.326255386978324324e+01
5.302295793971813964e+01,-2.304815245162856385e+01
5.303481670927213543e+01,-2.283375103347387736e+01
5.304648044585701427e+01,-2.261934961531919441e+01
5.305795270144547260e+01,-2.240494819716450792e+01
5.306435099328436422e+01,-2.228372643083416449e+01
5.306923693836608891e+01,-2.219054677900981787e+01
5.308033653181977485e+01,-2.197614536085513848e+01
5.309125477231145140e+01,-2.176174394270045198e+01
5.310199486800020452e+01,-2.154734252454577259e+01
5.311255994697073390e+01,-2.133294110639108609e+01
5.312295305942902246e+01,-2.111853968823640315e+01
5.313317717982503297e+01,-2.090413827008171666e+01
5.314323520890498287e+01,-2.068973685192703726e+01
5.315312997569576936e+01,-2.047533543377234722e+01
5.316286423942396766e+01,-2.026093401561766782e+01
5.317244069137175444e+01,-2.004653259746298133e+01
5.318186195667185245e+01,-1.983213117930829483e+01
5.319113059604386251e+01,-1.961772976115361189e+01
5.320024910747385150e+01,-1.940332834299892539e+01
